n_i,x_i,public_i,n_j,x_j,public_j,y_i,Z
10.0,0.9776138211579436,0.9765128081113889,15,0.9813006591747676,0.9805181591198072,-0.0036868380168240122,-0.0040053510084183674
3.0,0.9692907770788686,0.9684473848169132,17,0.982002556441926,0.9813872475807982,-0.012711779363057452,-0.016945213772303402
13.0,0.9808374777863568,0.9788347909439872,12,0.9828684607986486,0.9820591755597164,-0.002030983012291876,-0.020169598388032672
20.0,0.9830994269719012,0.9821055162524492,24,0.9837455349439654,0.9827505929776692,-0.0006461079720642138,-0.020814675113252634
20.0,0.9835439810509417,0.9824805675354716,16,0.9837579609197582,0.982787965012621,-0.0002139798688165495,-0.021122072590401997
18.0,0.9840526037206008,0.9832276183130731,19,0.9836773284339326,0.9830114652905568,0.0003752752866681419,-0.020905919567885678
22.0,0.984331954787044,0.9834506870394318,20,0.9841256116798868,0.9833445240198776,0.00020634310715728077,-0.02079975654833144
