n_i,x_i,n_j,x_j,y_i,dZ
0.0,0.402144621821848,35.0,0.937513591064596,-0.5353689692427479,-0.5394125230819306
12.0,0.93525623589865,30.0,0.93789415565905,-0.002637919760399954,-0.0006647804438020266
7.0,0.9387525943722108,13.0,0.9399321737319096,-0.0011795793596988124,-0.0010508469213064142
6.0,0.9387525943722108,8.0,0.9399321737319096,-0.0011795793596988124,-0.0010508469213064142
19.0,0.938813210561992,0.0,0.9399321737319096,-0.0011189631699176639,-0.0008520001941005884
14.0,0.9434577542092886,0.0,0.9399321737319096,0.0035255804773789423,0.002761464281237802
8.0,0.9437248190593366,9.0,0.9437560667400224,-3.124768068585304e-05,-7.55004810631954e-05
3.0,0.9440145199029788,25.0,0.9446880249236176,-0.0006735050206387871,-0.0015777992146771558
18.0,0.9850963232566876,26.0,0.9452672467699684,0.039829076486719184,-0.00034761154176099485
15.0,0.985119276823281,13.0,0.958240110067461,0.026879166755820028,-0.0006728382077993977
3.0,0.6537300038839217,29.0,0.7454735972023506,-0.09174359331842896,-0.09483768285067173
21.0,0.6797322966991328,37.0,0.7540193873727814,-0.07428709067364858,-0.0784373394092499
34.0,0.7465862875712558,16.0,0.7554760634252162,-0.008889775853960447,-0.010109184152093165
33.0,0.7577679442899813,20.0,0.7641555855525238,-0.006387641262542543,-0.007031515867087612
22.0,0.7623754896736021,23.0,0.7711950754701681,-0.008819585796565943,-0.006142173899217895
24.0,0.7635992994133912,21.0,0.7720312778347503,-0.008431978421359121,-0.006807415519244242
33.0,0.7773509663262504,23.0,0.7753273292777144,0.002023637048536031,0.0027747549953287542
20.0,0.7805485631749006,15.0,0.779370238221988,0.0011783249529125905,0.0011698719095525334
11.0,0.6301274252791905,31.0,0.694942989470274,-0.06481556419108347,-0.015770123982302375
17.0,0.6397749987202016,33.0,0.694942989470274,-0.05516799075007239,-0.010682550139511582
6.0,0.6397749987202016,15.0,0.694942989470274,-0.05516799075007239,-0.010412575141871439
16.0,0.6397749987202016,14.0,0.694942989470274,-0.05516799075007239,-0.005810753888948028
26.0,0.6412586552945553,24.0,0.694942989470274,-0.05368433417571872,0.0003842390874314594
15.0,0.6420978308150685,23.0,0.694942989470274,-0.05284515865520545,0.0024521379695192635
24.0,0.7540939171649877,15.0,0.694942989470274,0.05915092769471375,0.00396697585774175
10.0,0.7540939171649877,19.0,0.694942989470274,0.05915092769471375,0.003642057071432947
20.0,0.7540939171649877,18.0,0.694942989470274,0.05915092769471375,0.0030347685608920205
25.0,0.7540939171649877,6.0,0.694942989470274,0.05915092769471375,0.0033365436511356705
20.0,0.7540939171649877,19.0,0.694942989470274,0.05915092769471375,0.0034304451666069546
6.0,0.7540939171649877,10.0,0.694942989470274,0.05915092769471375,0.0031907194699851704
2.0,0.3793317171412653,6.0,0.3986971167703153,-0.019365399629049984,-0.020385273995077502
1.0,0.3793317171412653,12.0,0.4054837726502845,-0.026152055509019223,-0.026523341068068196
9.0,0.3812402872449564,7.0,0.4059752978556105,-0.024735010610654085,-0.026378984665310634
28.0,0.4036014175682461,19.0,0.4069698830372074,-0.0033684654689613014,-0.003463033079165123
13.0,0.4065868181230231,15.0,0.4075512921107161,-0.0009644739876930042,-0.0001890805680441754
9.0,0.4091449479301612,13.0,0.4084400896799552,0.0007048582502059975,0.000317712063317821
13.0,0.7920459851352523,15.0,0.7972145358134584,-0.005168550678206096,-0.005647345368791967
25.0,0.7942490011542396,3.0,0.7974081233978673,-0.003159122243627688,-0.003644063030300293
27.0,0.7965821804684272,19.0,0.7976336584609398,-0.001051477992512595,-0.0017495135377479931
26.0,0.7984740902774143,16.0,0.7976336584609398,0.0008404318164745295,0.0003315404144526024
34.0,0.799184868463475,25.0,0.7976336584609398,0.0015512100025352193,0.0007350285809976098
36.0,0.7997192788021642,21.0,0.7989311637239545,0.0007881150782097501,0.0008801490685526048
34.0,0.799846081884469,24.0,0.8003877613104032,-0.0005416794259341939,-0.0005543346356894352
41.0,0.8032243348008758,16.0,0.8020839549668514,0.0011403798340244853,0.0010354490789332704
35.0,0.8040969905932227,22.0,0.8036402001433359,0.0004567904498867792,0.0006955740318640435
3.0,0.8042725828401968,5.0,0.8039389268069079,0.00033365603328883164,0.0002608502724062989
17.0,0.7289860541169576,11.0,0.7540037419618701,-0.02501768784491254,-0.016039970392301983
33.0,0.8271079980504145,17.0,0.8049549549549626,0.022153043095451852,0.023338267949667535
34.0,0.8556616826250395,19.0,0.8548889203339534,0.0007727622910861376,0.0017887984209227215
15.0,0.8757990975268498,14.0,0.8726262912126824,0.003172806314167387,-0.0007772020725385076
7.0,0.0208998867759654,13.0,0.0275576856007128,-0.006657798824747402,-0.005773088523169701
9.0,0.0231834523938108,5.0,0.0305872369865286,-0.0074037845927177985,-0.0076810171304233996
7.0,0.0238271457999411,2.0,0.0305872369865286,-0.006760091186587498,-0.007412815827024199
5.0,0.0315128065407343,2.0,0.0316367907549976,-0.0001239842142632952,-0.001015809723774297
2.0,0.0317113426672798,3.0,0.0320941366680659,-0.00038279400078609915,-0.0006602822933017977
4.0,0.0334788216709237,0.0,0.0320941366680659,0.0013846850028578009,0.0015146808881208035
14.0,0.0338870891283219,1.0,0.0320941366680659,0.0017929524602560004,0.0017747398410724036
3.0,0.0338870891283219,4.0,0.0325511094301749,0.0013359796981469996,0.0010915344516057024
12.0,0.0350856454099926,8.0,0.0333936472621237,0.0016919981478688978,0.0007523932794600008
6.0,0.0368122976418696,17.0,0.0351695759014611,0.0016427217404084982,0.0015767302959317983
3.0,0.0373893018868835,12.0,0.0355954701750666,0.0017938317118168998,0.001499546320507604
8.0,0.0373893018868835,9.0,0.0359298498952874,0.0014594519915960974,0.0011614591377490033
26.0,0.0379272812355857,23.0,0.0374194728296951,0.0005078084058905974,0.00033201430467220266
5.0,0.7423463459974449,25.0,0.8952771000348548,-0.15293075403740997,-0.15220743557245464
9.0,0.8558934588125938,10.0,0.9085802253979316,-0.052686766585337774,-0.054869032530629136
5.0,0.8558934588125938,13.0,0.9151301266411056,-0.05923666782851178,-0.06504013519222618
2.0,0.8558934588125938,7.0,0.9216742186592304,-0.06578075984663656,-0.06995141529362014
