n_i,x_i,public_i,n_j,x_j,public_j,y_i,Z
4,0.2813216642444325,0.2784520731187105,12,0.3956255642919561,0.4006664259333563,-0.11430390004752361,-0.12221435281464577
3,0.210092153570297,0.2003561770767915,7,0.4044846509019804,0.4242318803052859,-0.19439249733168337,-0.3460900560431402
9,0.2604632597076303,0.2437224060165924,3,0.4147582022182906,0.4399317578170574,-0.15429494251066028,-0.5422994078436052
17,0.4497628445228459,0.4531742137642044,20,0.4273558879759463,0.4517450934644514,0.02240695654689956,-0.5408702875438522
3,0.4529964930104479,0.4631648963913309,27,0.4405306124332709,0.4631289452565909,0.012465880577177013,-0.5408343364091122
27,0.4768063759490303,0.495764277021299,33,0.4357230506192895,0.4403753580818692,0.041083325329740794,-0.48544541746968234
20,0.512725738433401,0.5336158993956729,20,0.4943003643504417,0.5171334954403835,0.018425374082959245,-0.4689630135143929
